Date,Homicide and other related violations,Invitation to sexual touching,Sexual exploitation,Luring a child via a computer,Voyeurism,Non-consensual distribution of intimate images,Extortion,Criminal harassment,Indecent/Harassing communications,Uttering threats,Other violent violations,Fraud,Identity theft,Identity fraud,Mischief,Other non-violent violations,Fail to comply with order,Indecent acts,Child pornography,Making or distribution of child pornography,Corrupting morals,Breach of probation,Utter threats to property or animal,Offences against the person and reputation (Part VIII Criminal Code),Other Criminal Code,Other violations
20170708,0,0,1,34,2,1,25,2,40,35,1,281,2,11,4,0,4,0,18,20,1,1,0,2,2,0
20170715,0,3,0,16,2,14,11,31,12,19,4,89,3,19,1,0,10,1,14,41,0,2,1,1,2,0
20170722,0,0,1,23,2,3,17,51,1,12,2,90,5,8,1,0,10,0,17,78,1,2,1,1,3,1
20170729,0,3,0,19,1,12,11,4,57,39,3,11,1,10,1,0,11,0,3,26,1,2,2,1,2,0
20170805,0,3,0,4,2,16,11,10,10,9,1,64,3,12,6,0,2,1,30,29,1,1,1,1,2,0
20170812,0,1,0,1,2,15,6,55,30,28,7,219,3,29,4,0,4,1,40,53,1,3,0,3,3,1
20170819,0,3,1,21,0,19,13,1,48,32,3,268,6,29,0,0,1,0,18,31,0,0,1,0,0,0
20170826,0,1,1,16,2,17,23,8,51,20,7,307,7,37,5,0,5,1,20,99,0,2,1,1,1,0
20170902,0,3,0,34,2,0,24,54,97,71,1,474,9,28,1,0,2,0,22,58,1,2,2,1,3,1
20170909,0,1,1,41,3,10,37,2,112,74,6,475,11,31,6,0,2,1,16,47,0,2,0,0,0,1
20170916,0,1,0,39,1,10,25,22,82,35,1,602,10,40,2,0,6,0,18,64,0,0,1,2,2,0
20170923,0,0,0,47,3,9,35,17,81,62,3,564,12,38,3,0,1,1,19,74,0,1,0,2,3,0
20170930,0,2,0,45,3,17,30,49,69,66,1,584,12,32,4,0,12,0,13,37,1,1,1,2,4,0
20171007,0,2,1,15,2,16,21,28,36,19,5,169,4,6,3,0,2,1,26,70,0,1,1,2,3,0
20171014,0,3,0,13,2,13,5,20,29,28,4,118,4,28,1,0,11,1,33,27,0,2,1,2,1,0
20171021,0,1,1,6,1,4,11,46,31,39,7,226,1,0,4,0,6,0,27,109,1,3,2,2,2,0
20171028,0,2,0,19,1,6,3,40,59,27,8,314,2,24,3,0,1,1,20,42,1,1,2,2,1,1
20171104,0,0,1,35,0,12,12,36,31,75,1,463,15,10,2,0,1,1,11,83,1,1,2,1,3,0
20171111,0,2,0,36,0,9,47,19,80,18,7,46,15,57,4,0,5,0,21,29,0,3,2,0,1,0
20171118,0,1,0,28,3,16,10,10,67,59,0,368,1,18,0,0,11,0,38,96,0,2,1,3,4,0
20171125,0,1,1,15,0,9,40,4,112,52,6,728,9,46,5,0,4,0,10,107,1,0,1,2,3,0
20171202,0,1,0,40,0,18,26,46,65,46,6,20,2,40,5,0,7,0,8,49,0,2,2,1,2,0
20171209,0,0,0,52,1,17,30,54,96,57,7,295,9,32,5,0,2,1,33,2,0,0,0,2,1,1
20171216,0,1,0,36,2,1,26,27,41,70,6,654,9,43,3,20,6,0,28,66,1,2,1,1,1,0
20171223,0,1,0,77,0,11,55,53,109,67,7,834,17,55,4,20,4,1,34,87,1,3,1,3,2,0
20171231,0,5,5,81,3,17,71,51,166,114,8,1136,24,74,6,26,4,0,6,104,3,4,3,6,8,6
20180107,0,4,0,72,2,16,111,54,125,107,10,594,13,55,4,1,9,1,3,102,0,2,3,6,5,2
20180114,0,0,1,50,1,7,90,53,73,73,8,475,12,53,1,5,13,0,16,63,0,2,2,5,4,0
20180121,0,1,1,37,1,11,84,40,101,118,5,557,7,51,2,1,8,1,15,83,0,2,3,4,4,2
20180128,0,2,0,63,1,11,118,48,100,114,9,542,10,41,3,1,1,0,14,115,0,2,3,6,2,1
20180204,1,2,0,39,0,7,79,27,116,41,6,548,11,35,2,6,1,0,9,110,0,3,3,4,4,1
20180211,0,2,0,10,3,1,18,50,85,74,11,453,7,29,6,5,5,0,10,47,0,0,2,4,5,2
20180218,0,1,0,33,2,6,43,32,53,52,5,403,7,42,3,6,3,0,15,115,0,1,2,5,5,0
20180225,0,3,0,19,1,1,26,29,5,14,5,186,5,12,1,4,4,0,20,78,0,2,2,2,0,1
20180304,0,0,1,18,1,12,12,6,15,13,2,256,1,20,2,5,13,0,15,72,0,3,1,2,1,0
20180311,0,3,0,28,1,16,4,2,55,34,7,499,2,37,5,5,10,0,2,11,1,0,1,0,2,2
20180318,0,0,0,30,1,11,14,2,92,9,8,328,7,32,5,4,12,0,15,87,0,3,3,2,0,0
20180325,0,1,0,20,0,13,7,7,57,90,8,430,7,19,3,0,13,1,4,115,1,1,0,2,3,2
20180401,0,3,0,7,2,10,15,37,25,2,7,275,6,30,6,4,11,0,17,104,1,4,2,4,3,1
20180408,0,1,1,21,2,2,34,14,24,45,4,284,5,8,3,2,13,1,15,100,0,3,2,1,1,1
20180415,0,1,0,38,3,22,39,35,46,64,5,353,5,48,0,3,12,0,22,35,0,3,2,1,5,0
